"fips","SCC","Pollutant","Emissions","type","year","county"
"1","04013","220108011X","PM25-PRI",0.08,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"2","04013","223007121T","PM25-PRI",0.0042129721,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"3","04013","2230074130","PM25-PRI",4.71103,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"4","04013","220107033T","PM25-PRI",0.23,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"5","04013","220100131T","PM25-PRI",2.26,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"6","04013","223007117B","PM25-PRI",0.04,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"7","04013","220100125X","PM25-PRI",12.75,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"8","04013","220108013T","PM25-PRI",0.0033733234,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"9","04013","2201020310","PM25-PRI",3.56956,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"10","04013","223007419X","PM25-PRI",1.28,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"11","04013","220108011T","PM25-PRI",0.0059120797,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"12","04013","223007327B","PM25-PRI",0.81,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"13","04013","223007121B","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"14","04013","220100125B","PM25-PRI",13.32,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"15","04013","220108013X","PM25-PRI",0.05,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"16","04013","223007115X","PM25-PRI",0.49,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"17","04013","223007329X","PM25-PRI",16.58,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"18","04013","220108025X","PM25-PRI",0.42,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"19","04013","220107033X","PM25-PRI",6.12,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"20","04013","223007333B","PM25-PRI",0.36,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"21","04013","220108033B","PM25-PRI",0.08,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"22","04013","2230071190","PM25-PRI",0.0571931,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"23","04013","223006017B","PM25-PRI",0.08,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"24","04013","223006017T","PM25-PRI",0.03,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"25","04013","223007329T","PM25-PRI",0.23,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"26","04013","220102015X","PM25-PRI",0.55,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"27","04013","2230001270","PM25-PRI",0.314041,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"28","04013","2230073190","PM25-PRI",0.00902274,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"29","04013","223000111B","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"30","04013","223007333T","PM25-PRI",0.2,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"31","04013","220107031T","PM25-PRI",0.19,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"32","04013","223000111X","PM25-PRI",0.4,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"33","04013","223007415X","PM25-PRI",4.92,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"34","04013","223007119B","PM25-PRI",0.0056094415,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"35","04013","223007429B","PM25-PRI",1.36,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"36","04013","223007423X","PM25-PRI",115.27,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"37","04013","2230072330","PM25-PRI",0.0949882,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"38","04013","223000111T","PM25-PRI",0.0051603591,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"39","04013","223007525T","PM25-PRI",0.02,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"40","04013","223007415T","PM25-PRI",0.16,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"41","04013","2230075210","PM25-PRI",0.369686,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"42","04013","220107031X","PM25-PRI",5.2,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"43","04013","220104029T","PM25-PRI",0.74,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"44","04013","223007123X","PM25-PRI",6.4,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"45","04013","223007423B","PM25-PRI",1.42,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"46","04013","2230001290","PM25-PRI",0.0127272,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"47","04013","2201070210","PM25-PRI",0.922043,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"48","04013","220100133T","PM25-PRI",2.66,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"49","04013","2201001210","PM25-PRI",1.19714,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"50","04013","220108017B","PM25-PRI",0.02,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"51","04013","223007421B","PM25-PRI",0.11,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"52","04013","223007329B","PM25-PRI",0.42,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"53","04013","223007425B","PM25-PRI",0.99,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"54","04013","223007331B","PM25-PRI",0.18,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"55","04013","223007331T","PM25-PRI",0.1,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"56","04013","220100129T","PM25-PRI",3.79,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"57","04013","223007421X","PM25-PRI",3.52,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"58","04013","2201070230","PM25-PRI",0.398448,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"59","04013","220108033T","PM25-PRI",0.01,"ON-ROAD",2002,"Maricopa County (Phoenix)"
